query file,selectivity,25 candidates,50 candidates,75 candidates,100 candidates
set_102393.csv,low,114,223,347,457
set_102484.csv,low,100,201,307,406
set_3035222.csv,low,54,115,168,219
set_102630.csv,low,114,223,348,459
set_549089.csv,medium,29,56,85,110
set_102394.csv,low,114,223,347,457
set_3948698.csv,low,70,143,216,288
set_1647205.csv,low,52,99,149,203
set_1439401.csv,low,77,161,241,311
set_4378362.csv,low,67,141,214,286
set_3035077.csv,low,58,122,180,239
set_1647175.csv,low,56,103,156,212
set_4378352.csv,low,67,141,214,286
set_4846367.csv,low,35,71,106,149
set_3035261.csv,low,55,117,170,221
set_1650332.csv,low,109,216,326,434
set_1655381.csv,medium,48,89,129,171
set_1082641.csv,medium,47,108,157,217
set_3279341.csv,medium,37,83,128,169
set_3287684.csv,medium,34,59,88,114
set_3225324.csv,medium,59,130,194,264
set_2022878.csv,medium,13,26,40,55
set_2022766.csv,medium,22,45,68,93
set_2757622.csv,medium,6,16,24,32
set_1649665.csv,medium,39,80,122,159
set_1941277.csv,medium,42,87,134,178
set_1466953.csv,medium,9,18,26,35
set_3225313.csv,medium,59,130,194,264
set_1302350.csv,medium,78,155,238,326
set_100477.csv,medium,26,49,74,103
set_1237906.csv,high,2,3,5,6
set_2062632.csv,high,757,1495,2223,2981
set_2675679.csv,high,696,1441,2094,2820
set_1082432.csv,high,54,109,172,227
set_4349463.csv,high,4,8,12,16
set_4598170.csv,high,18,38,57,76
set_1649507.csv,high,26,49,74,95
set_1655666.csv,high,261,520,767,1007
set_3798495.csv,high,3,6,12,16
set_3079718.csv,high,30,67,103,138
set_3826120.csv,high,9,17,27,37
set_4001420.csv,high,2,8,14,17
set_4058082.csv,high,8,14,22,31
set_3363156.csv,high,6,14,21,29
set_439649.csv,high,77,153,216,285
